cancer_gene_id	is_cancer_gene_census
ENSG00000141510	True
ENSG00000178568	True
ENSG00000157168	True
ENSG00000145216	True
ENSG00000189283	True
ENSG00000159216	True
ENSG00000171735	True
ENSG00000171094	True
ENSG00000055609	True
ENSG00000085276	True
ENSG00000183454	True
ENSG00000144218	True
ENSG00000145012	True
ENSG00000140538	True
ENSG00000152894	True
ENSG00000182185	True
ENSG00000171723	True
ENSG00000114861	True
ENSG00000164330	True
ENSG00000091831	True
ENSG00000178104	True
ENSG00000142611	True
ENSG00000196159	True
ENSG00000101972	True
ENSG00000204764	True
ENSG00000198795	True
ENSG00000257923	True
ENSG00000121879	True
ENSG00000185630	True
ENSG00000197157	True
ENSG00000082805	True
ENSG00000157764	True
ENSG00000049618	True
ENSG00000079102	True
ENSG00000152217	True
ENSG00000184384	True
ENSG00000047932	True
ENSG00000140836	True
ENSG00000104408	True
ENSG00000196712	True
ENSG00000146648	True
ENSG00000147655	True
ENSG00000145819	True
ENSG00000140937	True
ENSG00000157554	True
ENSG00000196220	True
ENSG00000182197	True
ENSG00000007237	True
ENSG00000085224	True
ENSG00000153944	True
ENSG00000140396	True
ENSG00000147257	True
ENSG00000183722	True
ENSG00000196498	True
ENSG00000153814	True
ENSG00000157388	True
ENSG00000151532	True
ENSG00000133703	True
ENSG00000147862	True
ENSG00000128487	True
ENSG00000163629	True
ENSG00000140262	True
ENSG00000134250	True
ENSG00000081237	True
ENSG00000134982	True
ENSG00000047936	True
ENSG00000171843	True
ENSG00000127914	True
ENSG00000083857	True
ENSG00000198286	True
ENSG00000187164	True
ENSG00000164398	True
ENSG00000171862	True
ENSG00000084676	True
ENSG00000141027	True
ENSG00000127329	True
ENSG00000073803	True
ENSG00000189079	True
ENSG00000169083	True
ENSG00000196092	True
ENSG00000156052	True
ENSG00000133392	True
ENSG00000113263	True
ENSG00000114423	True
ENSG00000109906	True
ENSG00000128656	True
ENSG00000148737	True
ENSG00000139083	True
ENSG00000117713	True
ENSG00000165409	True
ENSG00000187098	True
ENSG00000109670	True
ENSG00000197535	True
ENSG00000005339	True
ENSG00000104517	True
ENSG00000178105	True
ENSG00000127946	True
ENSG00000184640	True
ENSG00000165671	True
ENSG00000173821	True
ENSG00000078403	True
ENSG00000122778	True
ENSG00000196367	True
ENSG00000018408	True
ENSG00000105810	True
ENSG00000101096	True
ENSG00000113594	True
ENSG00000149311	True
ENSG00000196588	True
ENSG00000139687	True
ENSG00000185811	True
ENSG00000156650	True
ENSG00000172493	True
ENSG00000151702	True
ENSG00000116044	True
ENSG00000198793	True
ENSG00000119866	True
ENSG00000136492	True
ENSG00000168036	True
ENSG00000130396	True
ENSG00000175054	True
ENSG00000177565	True
ENSG00000147050	True
ENSG00000149948	True
ENSG00000116062	True
ENSG00000163939	True
ENSG00000164362	True
ENSG00000181555	True
ENSG00000006468	True
ENSG00000138336	True
ENSG00000095002	True
ENSG00000167548	True
ENSG00000110841	True
ENSG00000135903	True
ENSG00000198400	True
ENSG00000141646	True
ENSG00000130779	True
ENSG00000066468	True
ENSG00000171791	True
ENSG00000085832	True
ENSG00000065526	True
ENSG00000105976	True
ENSG00000134371	True
ENSG00000122025	True
ENSG00000196914	True
ENSG00000138081	True
ENSG00000110713	True
ENSG00000116132	True
ENSG00000138698	True
ENSG00000097007	True
ENSG00000047410	True
ENSG00000100345	True
ENSG00000087460	True
ENSG00000127152	True
ENSG00000072694	True
ENSG00000158169	True
ENSG00000187239	True
ENSG00000122779	True
ENSG00000129993	True
ENSG00000165392	True
ENSG00000009709	True
ENSG00000162434	True
ENSG00000127616	True
ENSG00000157404	True
ENSG00000143924	True
ENSG00000147065	True
ENSG00000107779	True
ENSG00000039068	True
ENSG00000070371	True
ENSG00000151348	True
ENSG00000182158	True
ENSG00000143322	True
ENSG00000168769	True
ENSG00000126777	True
ENSG00000186716	True
ENSG00000132170	True
ENSG00000128052	True
ENSG00000183337	True
ENSG00000145675	True
ENSG00000079805	True
ENSG00000083168	True
ENSG00000118058	True
ENSG00000096968	True
ENSG00000128513	True
ENSG00000139618	True
ENSG00000167258	True
ENSG00000121741	True
ENSG00000134853	True
ENSG00000138795	True
ENSG00000100503	True
ENSG00000115808	True
ENSG00000037280	True
ENSG00000115170	True
ENSG00000165025	True
ENSG00000144554	True
ENSG00000119772	True
ENSG00000168172	True
ENSG00000146374	True
ENSG00000100393	True
ENSG00000197323	True
ENSG00000115524	True
ENSG00000166949	True
ENSG00000147548	True
ENSG00000130844	True
ENSG00000112576	True
ENSG00000116128	True
ENSG00000184937	True
ENSG00000203734	True
ENSG00000255292	True
ENSG00000121289	True
ENSG00000109685	True
ENSG00000185920	True
ENSG00000095015	True
ENSG00000148400	True
ENSG00000177084	True
ENSG00000110777	True
ENSG00000136754	True
ENSG00000175643	True
ENSG00000165731	True
ENSG00000065559	True
ENSG00000141867	True
ENSG00000150907	True
ENSG00000073614	True
ENSG00000153201	True
ENSG00000119397	True
ENSG00000138413	True
ENSG00000073921	True
ENSG00000163513	True
ENSG00000136167	True
ENSG00000105662	True
ENSG00000156076	True
ENSG00000110395	True
ENSG00000171456	True
ENSG00000141367	True
ENSG00000137497	True
ENSG00000107882	True
ENSG00000103126	True
ENSG00000169032	True
ENSG00000012048	True
ENSG00000072364	True
ENSG00000103522	True
ENSG00000197299	True
ENSG00000078674	True
ENSG00000108091	True
ENSG00000126883	True
ENSG00000169184	True
ENSG00000129204	True
ENSG00000187741	True
ENSG00000067842	True
ENSG00000179295	True
ENSG00000054118	True
ENSG00000107485	True
ENSG00000108375	True
ENSG00000104419	True
ENSG00000100697	True
ENSG00000103197	True
ENSG00000140577	True
ENSG00000118689	True
ENSG00000179583	True
ENSG00000175387	True
ENSG00000139219	True
ENSG00000076685	True
ENSG00000100815	True
ENSG00000168685	True
ENSG00000029725	True
ENSG00000102974	True
ENSG00000064933	True
ENSG00000106462	True
ENSG00000147889	True
ENSG00000168610	True
ENSG00000198900	True
ENSG00000186575	True
ENSG00000137812	True
ENSG00000141736	True
ENSG00000064012	True
ENSG00000163518	True
ENSG00000132155	True
ENSG00000143437	True
ENSG00000104320	True
ENSG00000121067	True
ENSG00000139263	True
ENSG00000181690	True
ENSG00000184012	True
ENSG00000077782	True
ENSG00000111642	True
ENSG00000123983	True
ENSG00000179362	True
ENSG00000076242	True
ENSG00000163655	True
ENSG00000049540	True
ENSG00000160271	True
ENSG00000183765	True
ENSG00000244405	True
ENSG00000125618	True
ENSG00000105656	True
ENSG00000138592	True
ENSG00000125952	True
ENSG00000073578	True
ENSG00000178691	True
ENSG00000172660	True
ENSG00000141380	True
ENSG00000082898	True
ENSG00000214827	True
ENSG00000168421	True
ENSG00000113916	True
ENSG00000083799	True
ENSG00000213281	True
ENSG00000172175	True
ENSG00000123473	True
ENSG00000165699	True
ENSG00000079432	True
ENSG00000173757	True
ENSG00000125354	True
ENSG00000072274	True
ENSG00000113721	True
ENSG00000134352	True
ENSG00000139163	True
ENSG00000110619	True
ENSG00000197880	True
ENSG00000178053	True
ENSG00000118260	True
ENSG00000197646	True
ENSG00000118971	True
ENSG00000108924	True
ENSG00000112561	True
ENSG00000092820	True
ENSG00000067955	True
ENSG00000198625	True
ENSG00000140464	True
ENSG00000257103	True
ENSG00000104365	True
ENSG00000130382	True
ENSG00000163902	True
ENSG00000108946	True
ENSG00000080824	True
ENSG00000160789	True
ENSG00000065361	True
ENSG00000167751	True
ENSG00000105221	True
ENSG00000099956	True
ENSG00000162924	True
ENSG00000108821	True
ENSG00000099949	True
ENSG00000184634	True
ENSG00000071564	True
ENSG00000100644	True
ENSG00000067560	True
ENSG00000156970	True
ENSG00000170759	True
ENSG00000143294	True
ENSG00000119508	True
ENSG00000110987	True
ENSG00000169696	True
ENSG00000111275	True
ENSG00000002834	True
ENSG00000135100	True
ENSG00000114999	True
ENSG00000166888	True
ENSG00000105639	True
ENSG00000124181	True
ENSG00000213672	True
ENSG00000157765	True
ENSG00000143252	True
ENSG00000143549	True
ENSG00000134086	True
ENSG00000083093	True
ENSG00000120457	True
ENSG00000168646	True
ENSG00000166407	True
ENSG00000187621	True
ENSG00000206503	True
ENSG00000157613	True
ENSG00000175832	True
ENSG00000105568	True
ENSG00000184675	True
ENSG00000066455	True
ENSG00000187735	True
ENSG00000164754	True
ENSG00000057657	True
ENSG00000124795	True
ENSG00000182872	True
ENSG00000170234	True
ENSG00000162613	True
ENSG00000184402	True
ENSG00000131653	True
ENSG00000169925	True
ENSG00000182866	True
ENSG00000118046	True
ENSG00000123268	True
ENSG00000104884	True
ENSG00000119414	True
ENSG00000137265	True
ENSG00000135679	True
ENSG00000204843	True
ENSG00000213066	True
ENSG00000163161	True
ENSG00000175595	True
ENSG00000122512	True
ENSG00000088038	True
ENSG00000135111	True
ENSG00000131759	True
ENSG00000114354	True
ENSG00000156531	True
ENSG00000164985	True
ENSG00000135363	True
ENSG00000251562	True
ENSG00000118513	True
ENSG00000184507	True
ENSG00000142273	True
ENSG00000108953	True
ENSG00000109220	True
ENSG00000160957	True
ENSG00000141985	True
ENSG00000102034	True
ENSG00000128602	True
ENSG00000182944	True
ENSG00000167460	True
ENSG00000204209	True
ENSG00000110367	True
ENSG00000134899	True
ENSG00000126012	True
ENSG00000116251	True
ENSG00000163399	True
ENSG00000122566	True
ENSG00000138363	True
ENSG00000111252	True
ENSG00000144476	True
ENSG00000204370	True
ENSG00000160613	True
ENSG00000033030	True
ENSG00000068078	True
ENSG00000129514	True
ENSG00000126934	True
ENSG00000108292	True
ENSG00000136238	True
ENSG00000158715	True
ENSG00000183508	True
ENSG00000196531	True
ENSG00000154767	True
ENSG00000142208	True
ENSG00000100721	True
ENSG00000181163	True
ENSG00000160867	True
ENSG00000163930	True
ENSG00000154803	True
ENSG00000023445	True
ENSG00000119535	True
ENSG00000119537	True
ENSG00000138293	True
ENSG00000164919	True
ENSG00000159784	True
ENSG00000179348	True
ENSG00000158711	True
ENSG00000179094	True
ENSG00000124145	True
ENSG00000133895	True
ENSG00000100311	True
ENSG00000088256	True
ENSG00000096384	True
ENSG00000162367	True
ENSG00000136997	True
ENSG00000072062	True
ENSG00000109132	True
ENSG00000156976	True
ENSG00000182162	True
ENSG00000178573	True
ENSG00000168092	True
ENSG00000026103	True
ENSG00000182054	True
ENSG00000132781	True
ENSG00000117118	True
ENSG00000126746	True
ENSG00000147140	True
ENSG00000091483	True
ENSG00000112039	True
ENSG00000116560	True
ENSG00000134574	True
ENSG00000073584	True
ENSG00000066117	True
ENSG00000100814	True
ENSG00000146232	True
ENSG00000078399	True
ENSG00000117400	True
ENSG00000128713	True
ENSG00000108654	True
ENSG00000179218	True
ENSG00000184702	True
ENSG00000069399	True
ENSG00000130675	True
ENSG00000067082	True
ENSG00000118503	True
ENSG00000171302	True
ENSG00000110092	True
ENSG00000204713	True
ENSG00000204531	True
ENSG00000068323	True
ENSG00000163026	True
ENSG00000165556	True
ENSG00000126524	True
ENSG00000121966	True
ENSG00000124693	True
ENSG00000100105	True
ENSG00000180644	True
ENSG00000128714	True
ENSG00000184481	True
ENSG00000105173	True
ENSG00000019582	True
ENSG00000185499	True
ENSG00000077150	True
ENSG00000089280	True
ENSG00000136936	True
ENSG00000122406	True
ENSG00000134323	True
ENSG00000169249	True
ENSG00000109471	True
ENSG00000174775	True
ENSG00000112081	True
ENSG00000123364	True
ENSG00000015285	True
ENSG00000132002	True
ENSG00000147403	True
ENSG00000120217	True
ENSG00000172409	True
ENSG00000101213	True
ENSG00000166886	True
ENSG00000136352	True
ENSG00000051108	True
ENSG00000160201	True
ENSG00000162775	True
ENSG00000126752	True
ENSG00000123080	True
ENSG00000106031	True
ENSG00000007312	True
ENSG00000137193	True
ENSG00000119335	True
ENSG00000204103	True
ENSG00000105619	True
ENSG00000129152	True
ENSG00000213190	True
ENSG00000102145	True
ENSG00000183770	True
ENSG00000135446	True
ENSG00000167985	True
ENSG00000169714	True
ENSG00000181449	True
ENSG00000164438	True
ENSG00000123388	True
ENSG00000111276	True
ENSG00000142867	True
ENSG00000205927	True
ENSG00000132475	True
ENSG00000161547	True
ENSG00000070404	True
ENSG00000107807	True
ENSG00000005073	True
ENSG00000048462	True
ENSG00000163497	True
ENSG00000116990	True
ENSG00000163041	True
ENSG00000177606	True
ENSG00000175197	True
ENSG00000157873	True
ENSG00000136826	True
ENSG00000221829	True
ENSG00000261652	True
ENSG00000133639	True
ENSG00000137309	True
ENSG00000127083	True
ENSG00000183161	True
ENSG00000184923	True
ENSG00000245848	True
ENSG00000170791	True
ENSG00000172936	True
ENSG00000104903	True
ENSG00000188199	True
ENSG00000105369	True
ENSG00000198339	True
ENSG00000164683	True
ENSG00000185338	True
ENSG00000186051	True
ENSG00000205755	True
ENSG00000204645	True
ENSG00000241476	True
