ens_gene_id	cytoband
ENSG00000223972	1p36.33
ENSG00000227232	1p36.33
ENSG00000278267	1p36.33
ENSG00000243485	1p36.33
ENSG00000237613	1p36.33
ENSG00000268020	1p36.33
ENSG00000240361	1p36.33
ENSG00000186092	1p36.33
ENSG00000238009	1p36.33
ENSG00000239945	1p36.33
ENSG00000233750	1p36.33
ENSG00000268903	1p36.33
ENSG00000269981	1p36.33
ENSG00000239906	1p36.33
ENSG00000241860	1p36.33
ENSG00000222623	1p36.33
ENSG00000241599	1p36.33
ENSG00000279928	1p36.33
ENSG00000279457	1p36.33
ENSG00000273874	1p36.33
ENSG00000228463	1p36.33
ENSG00000241670	1p36.33
ENSG00000236679	1p36.33
ENSG00000236743	1p36.33
ENSG00000236601	1p36.33
ENSG00000237094	1p36.33
ENSG00000269732	1p36.33
ENSG00000278566	1p36.33
ENSG00000224813	1p36.33
ENSG00000233653	1p36.33
ENSG00000250575	1p36.33
ENSG00000278757	1p36.33
ENSG00000230021	1p36.33
ENSG00000235146	1p36.33
ENSG00000225972	1p36.33
ENSG00000225630	1p36.33
ENSG00000237973	1p36.33
ENSG00000278791	1p36.33
ENSG00000229344	1p36.33
ENSG00000240409	1p36.33
ENSG00000248527	1p36.33
ENSG00000198744	1p36.33
ENSG00000268663	1p36.33
ENSG00000273547	1p36.33
ENSG00000283574	1p36.33
ENSG00000229376	1p36.33
ENSG00000228327	1p36.33
ENSG00000223181	1p36.33
ENSG00000229905	1p36.33
ENSG00000237491	1p36.33
ENSG00000230092	1p36.33
ENSG00000177757	1p36.33
ENSG00000228794	1p36.33
ENSG00000225880	1p36.33
ENSG00000230368	1p36.33
ENSG00000234711	1p36.33
ENSG00000283040	1p36.33
ENSG00000272438	1p36.33
ENSG00000230699	1p36.33
ENSG00000241180	1p36.33
ENSG00000223764	1p36.33
ENSG00000187634	1p36.33
ENSG00000188976	1p36.33
ENSG00000187961	1p36.33
ENSG00000187583	1p36.33
ENSG00000187642	1p36.33
ENSG00000272512	1p36.33
ENSG00000188290	1p36.33
ENSG00000187608	1p36.33
ENSG00000231702	1p36.33
ENSG00000224969	1p36.33
ENSG00000188157	1p36.33
ENSG00000242590	1p36.33
ENSG00000217801	1p36.33
ENSG00000273443	1p36.33
ENSG00000237330	1p36.33
ENSG00000131591	1p36.33
ENSG00000223823	1p36.33
ENSG00000207730	1p36.33
ENSG00000207607	1p36.33
ENSG00000198976	1p36.33
ENSG00000272141	1p36.33
ENSG00000205231	1p36.33
ENSG00000162571	1p36.33
ENSG00000186891	1p36.33
ENSG00000186827	1p36.33
ENSG00000078808	1p36.33
ENSG00000176022	1p36.33
ENSG00000184163	1p36.33
ENSG00000260179	1p36.33
ENSG00000160087	1p36.33
ENSG00000230415	1p36.33
ENSG00000162572	1p36.33
ENSG00000131584	1p36.33
ENSG00000278073	1p36.33
ENSG00000169972	1p36.33
ENSG00000127054	1p36.33
ENSG00000240731	1p36.33
ENSG00000224051	1p36.33
ENSG00000169962	1p36.33
ENSG00000107404	1p36.33
ENSG00000162576	1p36.33
ENSG00000175756	1p36.33
ENSG00000223663	1p36.33
ENSG00000221978	1p36.33
ENSG00000224870	1p36.33
ENSG00000242485	1p36.33
ENSG00000264293	1p36.33
ENSG00000272455	1p36.33
ENSG00000235098	1p36.33
ENSG00000225905	1p36.33
ENSG00000205116	1p36.33
ENSG00000225285	1p36.33
ENSG00000179403	1p36.33
ENSG00000215915	1p36.33
ENSG00000160072	1p36.33
ENSG00000197785	1p36.33
ENSG00000205090	1p36.33
ENSG00000160075	1p36.33
ENSG00000215014	1p36.33
ENSG00000279244	1p36.33
ENSG00000274481	1p36.33
ENSG00000228594	1p36.33
ENSG00000272106	1p36.33
ENSG00000197530	1p36.33
ENSG00000189409	1p36.33
ENSG00000248333	1p36.33
ENSG00000272004	1p36.33
ENSG00000189339	1p36.33
ENSG00000269737	1p36.33
ENSG00000215914	1p36.33
ENSG00000008128	1p36.33
ENSG00000268575	1p36.33
ENSG00000227775	1p36.33
ENSG00000215790	1p36.33
ENSG00000008130	1p36.33
ENSG00000078369	1p36.33
ENSG00000231050	1p36.33
ENSG00000169885	1p36.33
ENSG00000178821	1p36.33
ENSG00000142609	1p36.33
ENSG00000233542	1p36.33
ENSG00000187730	1p36.33
ENSG00000226969	1p36.33
ENSG00000067606	1p36.33
ENSG00000271806	1p36.33
ENSG00000182873	1p36.33
ENSG00000162585	1p36.33
ENSG00000234396	1p36.33
ENSG00000157933	1p36.33,1p36.32
ENSG00000116151	1p36.32
ENSG00000272161	1p36.32
ENSG00000269896	1p36.32
ENSG00000272420	1p36.32
ENSG00000157916	1p36.32
ENSG00000157911	1p36.32
ENSG00000149527	1p36.32
ENSG00000224387	1p36.32
ENSG00000229393	1p36.32
ENSG00000157881	1p36.32
ENSG00000197921	1p36.32
ENSG00000272449	1p36.32
ENSG00000238164	1p36.32
ENSG00000157873	1p36.32
ENSG00000225931	1p36.32
ENSG00000228037	1p36.32
ENSG00000157870	1p36.32
ENSG00000142606	1p36.32
ENSG00000237058	1p36.32
ENSG00000215912	1p36.32
ENSG00000283259	1p36.32
ENSG00000233234	1p36.32
ENSG00000231630	1p36.32
ENSG00000169717	1p36.32
ENSG00000177133	1p36.32
ENSG00000142611	1p36.32
ENSG00000283572	1p36.32
ENSG00000226286	1p36.32
ENSG00000279839	1p36.32
ENSG00000272235	1p36.32
ENSG00000130762	1p36.32
ENSG00000272088	1p36.32
ENSG00000162591	1p36.32
ENSG00000207776	1p36.32
ENSG00000238260	1p36.32
ENSG00000158109	1p36.32
ENSG00000116213	1p36.32
ENSG00000078900	1p36.32
ENSG00000227589	1p36.32
ENSG00000235131	1p36.32
ENSG00000227372	1p36.32
ENSG00000276189	1p36.32
ENSG00000162592	1p36.32
ENSG00000235169	1p36.32
ENSG00000130764	1p36.32
ENSG00000266075	1p36.32
ENSG00000272153	1p36.32
ENSG00000116198	1p36.32
ENSG00000169598	1p36.32
ENSG00000198912	1p36.32
ENSG00000236423	1p36.32
ENSG00000233304	1p36.32
ENSG00000226374	1p36.32
ENSG00000229280	1p36.32
ENSG00000235054	1p36.32
ENSG00000227169	1p36.32
ENSG00000232596	1p36.32
ENSG00000196581	1p36.32
ENSG00000231510	1p36.32
ENSG00000260972	1p36.31
ENSG00000283356	1p36.31
ENSG00000236948	1p36.31
ENSG00000264341	1p36.31
ENSG00000264101	1p36.31
ENSG00000131697	1p36.31
ENSG00000069424	1p36.31
ENSG00000116254	1p36.31
ENSG00000116251	1p36.31
ENSG00000226944	1p36.31
ENSG00000158286	1p36.31
ENSG00000116237	1p36.31
ENSG00000225077	1p36.31
ENSG00000173673	1p36.31
ENSG00000158292	1p36.31
ENSG00000097021	1p36.31
ENSG00000271746	1p36.31
ENSG00000069812	1p36.31
ENSG00000187017	1p36.31
ENSG00000265392	1p36.31
ENSG00000231868	1p36.31
ENSG00000215788	1p36.31
ENSG00000171680	1p36.31
ENSG00000162408	1p36.31
ENSG00000253022	1p36.31
ENSG00000229519	1p36.31
ENSG00000173662	1p36.31
ENSG00000204859	1p36.31
ENSG00000162413	1p36.31
ENSG00000116273	1p36.31
ENSG00000041988	1p36.31
ENSG00000007923	1p36.31
ENSG00000228750	1p36.31
ENSG00000237436	1p36.31
ENSG00000171735	1p36.31,1p36.23
ENSG00000227950	1p36.31
ENSG00000237365	1p36.31
ENSG00000207056	1p36.23
ENSG00000237402	1p36.23
ENSG00000237728	1p36.23
ENSG00000225126	1p36.23
ENSG00000270171	1p36.23
ENSG00000270035	1p36.23
ENSG00000269978	1p36.23
ENSG00000049245	1p36.23
